zone_id,lat,lon,label_class,label,label_source,n_mineralized_obs,n_barren_obs,prospectivity_score
r02_c09,21.675,80.145,barren,0.0,REAL_GEOLOGICAL,0,1,0.003753928
r02_c10,21.675,80.155,barren,0.0,REAL_GEOLOGICAL,0,1,0.020516379
r02_c11,21.675,80.165,barren,0.0,REAL_GEOLOGICAL,0,1,0.08602902
r02_c12,21.675,80.175,barren,0.0,REAL_GEOLOGICAL,0,1,0.014201396
r02_c13,21.675,80.185,barren,0.0,REAL_GEOLOGICAL,0,1,0.03887955
r02_c14,21.675,80.195,barren,0.0,REAL_GEOLOGICAL,0,1,0.010214588
r02_c15,21.675,80.205,barren,0.0,REAL_GEOLOGICAL,0,1,0.010462291
r02_c16,21.675,80.215,barren,0.0,REAL_GEOLOGICAL,0,1,0.013439435
r02_c17,21.675,80.225,barren,0.0,REAL_GEOLOGICAL,0,1,0.020167418
r02_c18,21.675,80.235,barren,0.0,REAL_GEOLOGICAL,0,1,0.045432918
r02_c19,21.675,80.245,barren,0.0,REAL_GEOLOGICAL,0,1,0.012188936
r02_c20,21.675,80.255,barren,0.0,REAL_GEOLOGICAL,0,1,0.02570239
r02_c21,21.675,80.265,barren,0.0,REAL_GEOLOGICAL,0,1,0.029512994
r02_c22,21.675,80.275,barren,0.0,REAL_GEOLOGICAL,0,1,0.026643688
r02_c23,21.675,80.285,barren,0.0,REAL_GEOLOGICAL,0,1,0.0067026885
r02_c24,21.675,80.295,barren,0.0,REAL_GEOLOGICAL,0,1,0.010126181
r02_c25,21.675,80.305,barren,0.0,REAL_GEOLOGICAL,0,1,0.01295311
r02_c26,21.675,80.315,barren,0.0,REAL_GEOLOGICAL,0,1,0.07359555
r02_c27,21.675,80.325,barren,0.0,REAL_GEOLOGICAL,0,1,0.19029246
r02_c28,21.675,80.335,barren,0.0,REAL_GEOLOGICAL,0,1,0.11703941
r02_c29,21.675,80.345,barren,0.0,REAL_GEOLOGICAL,0,1,0.065437675
r03_c00,21.685,80.055,barren,0.0,REAL_GEOLOGICAL,0,1,0.014687905
r03_c01,21.685,80.065,barren,0.0,REAL_GEOLOGICAL,0,1,0.013967125
r03_c02,21.685,80.075,barren,0.0,REAL_GEOLOGICAL,0,1,0.033442546
r03_c03,21.685,80.085,barren,0.0,REAL_GEOLOGICAL,0,1,0.010926984
r03_c04,21.685,80.095,barren,0.0,REAL_GEOLOGICAL,0,1,0.024843022
r03_c05,21.685,80.105,barren,0.0,REAL_GEOLOGICAL,0,1,0.08451175
r03_c06,21.685,80.115,barren,0.0,REAL_GEOLOGICAL,0,1,0.0496576
r03_c07,21.685,80.125,barren,0.0,REAL_GEOLOGICAL,0,1,0.0131098535
r03_c08,21.685,80.135,barren,0.0,REAL_GEOLOGICAL,0,1,0.013328608
r03_c09,21.685,80.145,barren,0.0,REAL_GEOLOGICAL,0,1,0.022296688
r03_c10,21.685,80.155,barren,0.0,REAL_GEOLOGICAL,0,1,0.08648729
r03_c11,21.685,80.165,barren,0.0,REAL_GEOLOGICAL,0,1,0.06572689
r03_c12,21.685,80.175,barren,0.0,REAL_GEOLOGICAL,0,1,0.0129659735
r03_c13,21.685,80.185,barren,0.0,REAL_GEOLOGICAL,0,1,0.10788965
r03_c14,21.685,80.195,barren,0.0,REAL_GEOLOGICAL,0,1,0.10855304
r03_c15,21.685,80.205,barren,0.0,REAL_GEOLOGICAL,0,1,0.009324079
r03_c16,21.685,80.215,barren,0.0,REAL_GEOLOGICAL,0,1,0.011124274
r03_c17,21.685,80.225,barren,0.0,REAL_GEOLOGICAL,0,1,0.012064659
r03_c18,21.685,80.235,barren,0.0,REAL_GEOLOGICAL,0,1,0.06567166
r03_c19,21.685,80.245,barren,0.0,REAL_GEOLOGICAL,0,1,0.037841465
r03_c20,21.685,80.255,barren,0.0,REAL_GEOLOGICAL,0,1,0.0057996693
r03_c21,21.685,80.265,barren,0.0,REAL_GEOLOGICAL,0,1,0.08041524
r03_c22,21.685,80.275,barren,0.0,REAL_GEOLOGICAL,0,1,0.021170944
r03_c23,21.685,80.285,barren,0.0,REAL_GEOLOGICAL,0,1,0.039574333
r03_c24,21.685,80.295,barren,0.0,REAL_GEOLOGICAL,0,1,0.008758688
r03_c25,21.685,80.305,barren,0.0,REAL_GEOLOGICAL,0,1,0.0094738295
r03_c26,21.685,80.315,barren,0.0,REAL_GEOLOGICAL,0,1,0.0071950178
r03_c27,21.685,80.325,barren,0.0,REAL_GEOLOGICAL,0,1,0.003166432
r03_c28,21.685,80.335,barren,0.0,REAL_GEOLOGICAL,0,1,0.01660729
r03_c29,21.685,80.345,barren,0.0,REAL_GEOLOGICAL,0,1,0.099749565
r04_c00,21.695,80.055,barren,0.0,REAL_GEOLOGICAL,0,1,0.05673709
r04_c01,21.695,80.065,barren,0.0,REAL_GEOLOGICAL,0,1,0.026334591
r04_c02,21.695,80.075,barren,0.0,REAL_GEOLOGICAL,0,1,0.031778555
r04_c03,21.695,80.085,barren,0.0,REAL_GEOLOGICAL,0,1,0.03645503
r04_c04,21.695,80.095,barren,0.0,REAL_GEOLOGICAL,0,1,0.036278002
r04_c05,21.695,80.105,barren,0.0,REAL_GEOLOGICAL,0,1,0.02013488
r04_c06,21.695,80.115,barren,0.0,REAL_GEOLOGICAL,0,1,0.02137005
r04_c07,21.695,80.125,barren,0.0,REAL_GEOLOGICAL,0,1,0.01302684
r04_c08,21.695,80.135,barren,0.0,REAL_GEOLOGICAL,0,1,0.033408646
r04_c09,21.695,80.145,barren,0.0,REAL_GEOLOGICAL,0,1,0.014384202
r04_c10,21.695,80.155,barren,0.0,REAL_GEOLOGICAL,0,1,0.13262099
r04_c11,21.695,80.165,barren,0.0,REAL_GEOLOGICAL,0,1,0.083090365
r04_c12,21.695,80.175,barren,0.0,REAL_GEOLOGICAL,0,1,0.037951313
r04_c13,21.695,80.185,barren,0.0,REAL_GEOLOGICAL,0,1,0.2527027
r04_c14,21.695,80.195,barren,0.0,REAL_GEOLOGICAL,0,1,0.021201206
r04_c15,21.695,80.205,barren,0.0,REAL_GEOLOGICAL,0,1,0.021628652
r04_c16,21.695,80.215,barren,0.0,REAL_GEOLOGICAL,0,1,0.048575055
r04_c17,21.695,80.225,barren,0.0,REAL_GEOLOGICAL,0,1,0.08808881
r04_c18,21.695,80.235,barren,0.0,REAL_GEOLOGICAL,0,1,0.07205028
r04_c19,21.695,80.245,barren,0.0,REAL_GEOLOGICAL,0,1,0.0073762187
r04_c20,21.695,80.255,barren,0.0,REAL_GEOLOGICAL,0,1,0.009530931
r04_c21,21.695,80.265,barren,0.0,REAL_GEOLOGICAL,0,1,0.10752113
r04_c22,21.695,80.275,barren,0.0,REAL_GEOLOGICAL,0,1,0.0622386
r04_c23,21.695,80.285,barren,0.0,REAL_GEOLOGICAL,0,1,0.10193559
r04_c24,21.695,80.295,barren,0.0,REAL_GEOLOGICAL,0,1,0.047192756
r04_c25,21.695,80.305,barren,0.0,REAL_GEOLOGICAL,0,1,0.04378015
r04_c26,21.695,80.315,barren,0.0,REAL_GEOLOGICAL,0,1,0.08188268
r04_c27,21.695,80.325,barren,0.0,REAL_GEOLOGICAL,0,1,0.0781812
r04_c28,21.695,80.335,barren,0.0,REAL_GEOLOGICAL,0,1,0.070885524
r04_c29,21.695,80.345,barren,0.0,REAL_GEOLOGICAL,0,1,0.021784479
r05_c00,21.705,80.055,barren,0.0,REAL_GEOLOGICAL,0,1,0.013960914
r05_c01,21.705,80.065,barren,0.0,REAL_GEOLOGICAL,0,1,0.050283268
r05_c02,21.705,80.075,barren,0.0,REAL_GEOLOGICAL,0,1,0.05205967
r05_c03,21.705,80.085,barren,0.0,REAL_GEOLOGICAL,0,1,0.09088531
r05_c04,21.705,80.095,barren,0.0,REAL_GEOLOGICAL,0,1,0.034897063
r05_c05,21.705,80.105,barren,0.0,REAL_GEOLOGICAL,0,1,0.10433099
r05_c06,21.705,80.115,barren,0.0,REAL_GEOLOGICAL,0,1,0.11589108
r05_c07,21.705,80.125,barren,0.0,REAL_GEOLOGICAL,0,1,0.11062443
r05_c08,21.705,80.135,barren,0.0,REAL_GEOLOGICAL,0,1,0.13118117
r05_c09,21.705,80.145,barren,0.0,REAL_GEOLOGICAL,0,1,0.11908849
r05_c10,21.705,80.155,barren,0.0,REAL_GEOLOGICAL,0,1,0.47312167
r05_c11,21.705,80.165,barren,0.0,REAL_GEOLOGICAL,0,1,0.50778776
r05_c12,21.705,80.175,barren,0.0,REAL_GEOLOGICAL,0,1,0.17463563
r05_c13,21.705,80.185,barren,0.0,REAL_GEOLOGICAL,0,1,0.2869185
r05_c14,21.705,80.195,barren,0.0,REAL_GEOLOGICAL,0,1,0.3503747
r05_c15,21.705,80.205,barren,0.0,REAL_GEOLOGICAL,0,1,0.5138818
r05_c16,21.705,80.215,barren,0.0,REAL_GEOLOGICAL,0,1,0.70958436
r05_c17,21.705,80.225,barren,0.0,REAL_GEOLOGICAL,0,1,0.6844846
r05_c18,21.705,80.235,barren,0.0,REAL_GEOLOGICAL,0,1,0.5049922
r05_c19,21.705,80.245,barren,0.0,REAL_GEOLOGICAL,0,1,0.11829164
r05_c20,21.705,80.255,barren,0.0,REAL_GEOLOGICAL,0,1,0.08743223
r05_c21,21.705,80.265,barren,0.0,REAL_GEOLOGICAL,0,1,0.03127445
r05_c22,21.705,80.275,barren,0.0,REAL_GEOLOGICAL,0,1,0.03975271
r05_c23,21.705,80.285,barren,0.0,REAL_GEOLOGICAL,0,1,0.0788079
r05_c24,21.705,80.295,barren,0.0,REAL_GEOLOGICAL,0,1,0.036847882
r05_c25,21.705,80.305,barren,0.0,REAL_GEOLOGICAL,0,1,0.08387514
r05_c26,21.705,80.315,barren,0.0,REAL_GEOLOGICAL,0,1,0.07475717
r05_c27,21.705,80.325,barren,0.0,REAL_GEOLOGICAL,0,1,0.105377235
r05_c28,21.705,80.335,barren,0.0,REAL_GEOLOGICAL,0,1,0.04175905
r05_c29,21.705,80.345,barren,0.0,REAL_GEOLOGICAL,0,1,0.1027523
r06_c00,21.715,80.055,barren,0.0,REAL_GEOLOGICAL,0,1,0.024573676
r06_c01,21.715,80.065,barren,0.0,REAL_GEOLOGICAL,0,1,0.07412923
r06_c02,21.715,80.075,barren,0.0,REAL_GEOLOGICAL,0,1,0.10856864
r06_c03,21.715,80.085,barren,0.0,REAL_GEOLOGICAL,0,1,0.03393131
r06_c04,21.715,80.095,barren,0.0,REAL_GEOLOGICAL,0,1,0.18870038
r06_c05,21.715,80.105,barren,0.0,REAL_GEOLOGICAL,0,1,0.25265944
r06_c06,21.715,80.115,barren,0.0,REAL_GEOLOGICAL,0,1,0.09574254
r06_c07,21.715,80.125,barren,0.0,REAL_GEOLOGICAL,0,1,0.24169442
r06_c08,21.715,80.135,barren,0.0,REAL_GEOLOGICAL,0,1,0.22061922
r06_c09,21.715,80.145,barren,0.0,REAL_GEOLOGICAL,0,1,0.1982134
r06_c10,21.715,80.155,barren,0.0,REAL_GEOLOGICAL,0,1,0.5465444
r06_c11,21.715,80.165,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.732441
r06_c12,21.715,80.175,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.93684816
r06_c13,21.715,80.185,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.9672692
r06_c14,21.715,80.195,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.9518285
r06_c15,21.715,80.205,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.678399
r06_c16,21.715,80.215,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.8785906
r06_c17,21.715,80.225,barren,0.0,REAL_GEOLOGICAL,0,1,0.70136225
r06_c18,21.715,80.235,barren,0.0,REAL_GEOLOGICAL,0,1,0.5072495
r06_c19,21.715,80.245,barren,0.0,REAL_GEOLOGICAL,0,1,0.44185507
r06_c20,21.715,80.255,barren,0.0,REAL_GEOLOGICAL,0,1,0.02046671
r06_c21,21.715,80.265,barren,0.0,REAL_GEOLOGICAL,0,1,0.030766385
r06_c22,21.715,80.275,barren,0.0,REAL_GEOLOGICAL,0,1,0.0332804
r06_c23,21.715,80.285,barren,0.0,REAL_GEOLOGICAL,0,1,0.029082017
r06_c24,21.715,80.295,barren,0.0,REAL_GEOLOGICAL,0,1,0.046355974
r06_c25,21.715,80.305,barren,0.0,REAL_GEOLOGICAL,0,1,0.12031714
r06_c26,21.715,80.315,barren,0.0,REAL_GEOLOGICAL,0,1,0.09651773
r06_c27,21.715,80.325,barren,0.0,REAL_GEOLOGICAL,0,1,0.11850137
r06_c28,21.715,80.335,barren,0.0,REAL_GEOLOGICAL,0,1,0.3025176
r06_c29,21.715,80.345,barren,0.0,REAL_GEOLOGICAL,0,1,0.25865316
r07_c00,21.725,80.055,barren,0.0,REAL_GEOLOGICAL,0,1,0.010649185
r07_c01,21.725,80.065,barren,0.0,REAL_GEOLOGICAL,0,1,0.1087821
r07_c02,21.725,80.075,barren,0.0,REAL_GEOLOGICAL,0,1,0.066578284
r07_c03,21.725,80.085,barren,0.0,REAL_GEOLOGICAL,0,1,0.042087384
r07_c04,21.725,80.095,barren,0.0,REAL_GEOLOGICAL,0,1,0.025965907
r07_c05,21.725,80.105,barren,0.0,REAL_GEOLOGICAL,0,1,0.47797257
r07_c06,21.725,80.115,barren,0.0,REAL_GEOLOGICAL,0,1,0.2518524
r07_c07,21.725,80.125,barren,0.0,REAL_GEOLOGICAL,0,1,0.44300464
r07_c08,21.725,80.135,barren,0.0,REAL_GEOLOGICAL,0,1,0.566619
r07_c09,21.725,80.145,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.7398904
r07_c10,21.725,80.155,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.93755174
r07_c11,21.725,80.165,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.95549655
r07_c12,21.725,80.175,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.9494632
r07_c13,21.725,80.185,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.93592024
r07_c14,21.725,80.195,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.89317274
r07_c15,21.725,80.205,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.8339377
r07_c16,21.725,80.215,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.87273353
r07_c17,21.725,80.225,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.86927015
r07_c18,21.725,80.235,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.8464689
r07_c19,21.725,80.245,barren,0.0,REAL_GEOLOGICAL,0,1,0.16697861
r07_c20,21.725,80.255,barren,0.0,REAL_GEOLOGICAL,0,1,0.06865394
r07_c21,21.725,80.265,barren,0.0,REAL_GEOLOGICAL,0,1,0.08852357
r07_c22,21.725,80.275,barren,0.0,REAL_GEOLOGICAL,0,1,0.1848896
r07_c23,21.725,80.285,barren,0.0,REAL_GEOLOGICAL,0,1,0.039781634
r07_c24,21.725,80.295,barren,0.0,REAL_GEOLOGICAL,0,1,0.061468232
r07_c25,21.725,80.305,barren,0.0,REAL_GEOLOGICAL,0,1,0.08172355
r07_c26,21.725,80.315,barren,0.0,REAL_GEOLOGICAL,0,1,0.08368088
r07_c27,21.725,80.325,barren,0.0,REAL_GEOLOGICAL,0,1,0.06822222
r07_c28,21.725,80.335,barren,0.0,REAL_GEOLOGICAL,0,1,0.12693991
r07_c29,21.725,80.345,barren,0.0,REAL_GEOLOGICAL,0,1,0.16783267
r08_c00,21.735,80.055,barren,0.0,REAL_GEOLOGICAL,0,1,0.013782765
r08_c01,21.735,80.065,barren,0.0,REAL_GEOLOGICAL,0,1,0.025726235
r08_c02,21.735,80.075,barren,0.0,REAL_GEOLOGICAL,0,1,0.08435083
r08_c03,21.735,80.085,barren,0.0,REAL_GEOLOGICAL,0,1,0.035019558
r08_c04,21.735,80.095,barren,0.0,REAL_GEOLOGICAL,0,1,0.064963125
r08_c05,21.735,80.105,barren,0.0,REAL_GEOLOGICAL,0,1,0.46418083
r08_c06,21.735,80.115,barren,0.0,REAL_GEOLOGICAL,0,1,0.46969306
r08_c07,21.735,80.125,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.68525803
